fips	Elevation	Incidence	weight	Cancer
08059	1.76535	132.7	500	Breast
08067	2.22172	121.2	212.087246198351	Breast
08069	1.60459	124.8	500	Breast
08071	2.00886	56.8	123.316665540388	Breast
08075	1.22997	135.1	143.19217855735	Breast
08077	1.47285	126.5	340.961874701557	Breast
08081	1.94815	114.1	114.821600755259	Breast
08083	1.99752	103.3	154.369686143362	Breast
08085	1.91971	133.5	182.84419597023	Breast
08087	1.32823	101.4	164.836282413794	Breast
08089	1.27874	86.9	142.516665692122	Breast
08097	2.75963	122.2	121.950809755409	Breast
08099	1.11224	102	120.345336428131	Breast
08101	1.49269	126.7	376.127637910324	Breast
08105	2.4774	113.4	111.413643688733	Breast
08107	2.33629	127.2	142.80406156689	Breast
08123	1.46872	108.2	425.365724994386	Breast
16001	0.83037	127.9	500	Breast
16005	1.4416	110.8	274.890887444455	Breast
16011	1.40641	103.7	204.2914584607	Breast
16013	1.93417	111.7	137.807837222707	Breast
16017	0.80397	121	191.924464308227	Breast
16019	1.45545	110.8	287.266426858413	Breast
16027	0.75237	113.5	362.547927866096	Breast
16031	1.35891	74.8	146.342065039414	Breast
16041	1.57506	121	106.437775249204	Breast
16043	1.58565	129.8	108.715224324839	Breast
16045	0.76313	132.1	123.211200789539	Breast
16047	1.05944	122.7	118.974787245029	Breast
16049	1.11151	77.4	124.543165207891	Breast
16051	1.48497	110.8	138.401589586247	Breast
16053	1.15273	118.4	135.432640083549	Breast
16055	0.72524	130.1	329.674081480483	Breast
16057	0.82288	119.1	186.909068800848	Breast
16067	1.27387	119.1	142.035206903077	Breast
16069	0.42658	126.3	193.416648714634	Breast
16073	0.92709	82.2	103.169763012231	Breast
16075	0.68787	137.4	143.450339839263	Breast
16079	1.0906	99.8	117.349904132896	Breast
16083	1.16248	131.4	253.542895778998	Breast
30013	1.05983	123.7	283.473102780493	Breast
30017	0.73941	119.4	108.148046676766	Breast
30027	1.25059	113.4	109.055031979272	Breast
30029	0.99844	134.5	272.893752218698	Breast
30031	1.55282	143.7	260.443851914381	Breast
30041	0.86015	85.5	129.123971438304	Breast
30043	1.60127	101.7	100.244700608062	Breast
30049	1.29116	129.5	236.042369078096	Breast
30053	1.09585	117.9	137.247950804374	Breast
30063	1.09651	129.1	309.51898164733	Breast
30067	1.65706	128.2	125.275695966935	Breast
30081	1.39823	116.6	189.921036222952	Breast
30089	1.16545	124.3	101.128630960772	Breast
30093	1.73005	107.7	186.026879778165	Breast
30111	0.9978	116.4	359.655390617185	Breast
32001	1.24885	100.7	154.861228201251	Breast
32003	0.65514	114.5	500	Breast
32005	1.64554	107.4	203.123115375872	Breast
32007	1.75552	94.8	212.816822643324	Breast
32013	1.50769	107.5	126.9094165143	Breast
32019	1.45403	114.1	185.744448100071	Breast
32031	1.46328	120.6	500	Breast
35001	1.63461	117.9	500	Breast
35005	1.1099	114.3	247.753910160869	Breast
35007	2.133	66.6	119.117588961496	Breast
